# normalized_key	display_name	genres
mary hopkin	Mary Hopkin	POP,ROCK,FOLK
mary j blige	Mary J. Blige	POP,HIP_HOP,RNB
mary jane girls	Mary Jane Girls	RNB,ELECTRONIC
mary lambert	Mary Lambert	OTHER
mary macgregor	Mary MacGregor	POP
mary mary	Mary Mary	RNB
mary travers	Mary Travers	OTHER
mary wells	Mary Wells	POP,RNB
mase	Mase	POP,HIP_HOP,RNB,PUNK
mashmakhan	Mashmakhan	OTHER
mashonda	Mashonda	POP,RNB
mason ramsey	Mason Ramsey	COUNTRY
mason williams	Mason Williams	OTHER
mass production	Mass Production	RNB,ELECTRONIC
masta ace incorporated	Masta Ace Incorporated	HIP_HOP,PUNK
master p	Master P	HIP_HOP
mat kearney	Mat Kearney	POP,ROCK
matchbox twenty	Matchbox Twenty	POP,ROCK
matisyahu	Matisyahu	OTHER
matt and kim	Matt and Kim	POP,ROCK,FOLK
matt mcandrew	Matt McAndrew	OTHER
matt monro	Matt Monro	POP
matt nathanson	Matt Nathanson	POP,ROCK
matthew santos	Matthew Santos	OTHER
matthew sweet	Matthew Sweet	POP,ROCK,COUNTRY
matthew wilder	Matthew Wilder	POP
matthews southern comfort	Matthews' Southern Comfort	POP,FOLK
maureen mcgovern	Maureen McGovern	POP
maureen steele	Maureen Steele	OTHER
maurice white	Maurice White	OTHER
mavis staples	Mavis Staples	ROCK,RNB
max	MAX	POP
max a million	Max-A-Million	OTHER
max b	Max B	HIP_HOP
max frost and the troopers	Max Frost & The Troopers	ROCK
max headroom	Max Headroom	OTHER
max werner	Max Werner	OTHER
maxi priest	Maxi Priest	ROCK
maxine brown	Maxine Brown	POP,RNB
maxine nightingale	Maxine Nightingale	POP
maxwell	Maxwell	POP,RNB
maynard ferguson	Maynard Ferguson	JAZZ
maze	Maze	RNB,ELECTRONIC
mazzy star	Mazzy Star	POP,ROCK
mc eiht	MC Eiht	HIP_HOP,RNB
mc lyte	MC Lyte	POP,HIP_HOP,RNB,ELECTRONIC,PUNK
mc nas d	MC Nas-D	OTHER
mc ren	MC Ren	HIP_HOP,PUNK
mc serch	MC Serch	HIP_HOP,PUNK
mc5	MC5	ROCK,RNB,PUNK
mcauley schenker group	McAuley Schenker Group	ROCK,METAL
mccoys	The McCoys	POP,ROCK,FOLK
mccrarys	The McCrarys	RNB
mcfadden and whitehead	McFadden & Whitehead	RNB,ELECTRONIC
mcguffey lane	McGuffey Lane	OTHER
mcguinn clark and hillman	McGuinn, Clark & Hillman	OTHER
mcguinness flint	McGuinness Flint	POP
mdma	MDMA	OTHER
me phi me	Me Phi Me	OTHER
meat loaf	Meat Loaf	POP,ROCK
meat puppets	Meat Puppets	POP,ROCK,PUNK
meco	Meco	OTHER
meek mill	Meek Mill	POP,HIP_HOP
megadeth	Megadeth	ROCK,METAL
meghan trainor	Meghan Trainor	POP
meja	Meja	OTHER
mel and kim	Mel & Kim	POP
mel and tim	Mel & Tim	RNB
mel carter	Mel Carter	OTHER
mel torme	Mel Tormé	POP,JAZZ
melanie	Melanie	POP,FOLK
melanie fiona	Melanie Fiona	POP,RNB
melanie martinez	Melanie Martinez	POP
melba montgomery	Melba Montgomery	COUNTRY
melba moore	Melba Moore	RNB,ELECTRONIC
meli sa morgan	Meli'sa Morgan	RNB,ELECTRONIC
melissa etheridge	Melissa Etheridge	POP,ROCK,FOLK
melissa lawson	Melissa Lawson	OTHER
melissa manchester	Melissa Manchester	POP
melissa manchester and peabo bryson	Melissa Manchester & Peabo Bryson	OTHER
mellow man ace	Mellow Man Ace	HIP_HOP
memphis bleek	Memphis Bleek	POP,HIP_HOP,PUNK
men at large	Men At Large	RNB
men at work	Men At Work	POP,ROCK,ELECTRONIC
men of vizion	Men of Vizion	RNB
men without hats	Men Without Hats	POP,ROCK,ELECTRONIC
menudo	Menudo	LATIN
mercedes	Mercedes	OTHER
mercy	Mercy	OTHER
mercyme	MercyMe	ROCK
meredith brooks	Meredith Brooks	POP
meri wilson	Meri Wilson	OTHER
merle haggard	Merle Haggard	COUNTRY
merle haggard and the strangers	Merle Haggard & The Strangers	COUNTRY
merril bainbridge	Merril Bainbridge	OTHER
merrilee rush	Merrilee Rush	POP
merrilee rush and the turnabouts	Merrilee Rush & The Turnabouts	OTHER
merry clayton	Merry Clayton	RNB
merry go round	The Merry-Go-Round	ROCK
meryl streep	Meryl Streep	SOUNDTRACK
meshell ndegeocello	Meshell Ndegeocello	RNB
messengers	The Messengers	OTHER
metallica	Metallica	ROCK,METAL
meters	The Meters	RNB
method man	Method Man	HIP_HOP,PUNK
metro boomin	Metro Boomin	POP,HIP_HOP
metro station	Metro Station	POP,PUNK,EMO
metros	The Metros	ROCK
mfsb	MFSB	RNB,ELECTRONIC
mgmt	MGMT	POP,ROCK,ELECTRONIC
mia x	Mia X	POP,HIP_HOP
miami sound machine	Miami Sound Machine	POP
mic geronimo	Mic Geronimo	HIP_HOP,PUNK
mica paris	Mica Paris	RNB
michael bolton	Michael Bolton	POP
michael buble	Michael Bublé	POP
michael cera	Michael Cera	FOLK
michael cooper	Michael Cooper	RNB
michael damian	Michael Damian	OTHER
michael franks	Michael Franks	POP,RNB,JAZZ
michael henderson	Michael Henderson	RNB,ELECTRONIC
michael holm	Michael Holm	ROCK
michael jackson	Michael Jackson	POP
michael johnson	Michael Johnson	POP
michael mcdonald	Michael McDonald	POP,RNB
michael morales	Michael Morales	OTHER
michael murphey	Michael Murphey	OTHER
michael nesmith	Michael Nesmith	POP,COUNTRY
michael parks	Michael Parks	OTHER
michael penn	Michael Penn	POP
michael peterson	Michael Peterson	COUNTRY
michael ray	Michael Ray	COUNTRY
michael sembello	Michael Sembello	OTHER
michael stanley band	Michael Stanley Band	POP,ROCK
michael w smith	Michael W. Smith	ROCK
michael zager band	The Michael Zager Band	ELECTRONIC
michel le	Michel'le	RNB
michel legrand	Michel Legrand	JAZZ,SOUNDTRACK
michel polnareff	Michel Polnareff	ROCK
michel telo	Michel Teló	POP
michele lee	Michele Lee	OTHER
michelle branch	Michelle Branch	POP
michelle visage	Michelle Visage	OTHER
mick jagger	Mick Jagger	ROCK
mickey gilley	Mickey Gilley	COUNTRY
mickey lee lane	Mickey Lee Lane	OTHER
mickey murray	Mickey Murray	OTHER
mickey newbury	Mickey Newbury	COUNTRY,FOLK
midge ure	Midge Ure	POP,ROCK,ELECTRONIC
midi maxi and efti	Midi, Maxi & Efti	OTHER
midland	Midland	COUNTRY
midnight oil	Midnight Oil	ROCK,ELECTRONIC
midnight star	Midnight Star	RNB,ELECTRONIC
mighty clouds of joy	Mighty Clouds Of Joy	OTHER
mighty dub katz	Mighty Dub Katz	OTHER
migos	Migos	POP,HIP_HOP
miguel	Miguel	POP,HIP_HOP,RNB
miguel rios	Miguel Rios	ROCK,LATIN
mika	MIKA	POP
mike curb congregation	Mike Curb Congregation	OTHER
mike douglas	Mike Douglas	SOUNDTRACK
mike jones	Mike Jones	HIP_HOP
mike oldfield	Mike Oldfield	ROCK
mike pinera	Mike Pinera	OTHER
mike posner	Mike Posner	POP,HIP_HOP
mike post	Mike Post	OTHER
mike reno	Mike Reno	OTHER
mike shorey	Mike Shorey	OTHER
mike will made it	Mike WiLL Made-It	POP,HIP_HOP
miki howard	Miki Howard	RNB,ELECTRONIC
mikky ekko	Mikky Ekko	COUNTRY
miley cyrus	Miley Cyrus	POP
milky chance	Milky Chance	POP
milli vanilli	Milli Vanilli	RNB
millie jackson	Millie Jackson	RNB
millie small	Millie Small	ROCK
millions like us	Millions Like Us	OTHER
mills brothers	The Mills Brothers	POP,JAZZ
mims	MiMS	HIP_HOP
mindbenders	The Mindbenders	POP,ROCK,FOLK
mindless behavior	Mindless Behavior	RNB
mindy mccready	Mindy McCready	COUNTRY
minnie riperton	Minnie Riperton	RNB,ELECTRONIC
minor detail	Minor Detail	ROCK
mint condition	Mint Condition	POP,RNB
miracles	The Miracles	POP,RNB,ELECTRONIC
miranda cosgrove	Miranda Cosgrove	POP
miranda lambert	Miranda Lambert	COUNTRY
miriam makeba	Miriam Makeba	POP,JAZZ
mis teeq	Mis-Teeq	POP,ROCK,ELECTRONIC
missing persons	Missing Persons	POP,ROCK,ELECTRONIC
missy elliott	Missy Elliott	POP,HIP_HOP,RNB
mista	Mista	OTHER
mista grimm	Mista Grimm	RNB
mistress	Mistress	OTHER
mitch malloy	Mitch Malloy	ROCK
mitch ryder	Mitch Ryder	OTHER
mitch ryder and the detroit wheels	Mitch Ryder and The Detroit Wheels	OTHER
mitchel musso	Mitchel Musso	POP
mitchell hope	Mitchell Hope	OTHER
mitchell tenpenny	Mitchell Tenpenny	ROCK,COUNTRY
mitty collier	Mitty Collier	RNB
mixtures	The Mixtures	OTHER
mjg	MJG	HIP_HOP
mkto	MKTO	POP,HIP_HOP
mnek	MNEK	POP,RNB,ELECTRONIC
mo	Mo	OTHER
mo b dick	Mo B. Dick	HIP_HOP
mob	The Mob	OTHER
mobb deep	Mobb Deep	HIP_HOP,PUNK
moby	Moby	ELECTRONIC
moby grape	Moby Grape	ROCK,COUNTRY,FOLK
mocedades	Mocedades	POP,LATIN
mocha	Mocha	OTHER
models	Models	ROCK
modern english	Modern English	POP,ROCK,ELECTRONIC
modest mouse	Modest Mouse	POP,ROCK,FOLK
modjo	Modjo	ELECTRONIC
mohombi	Mohombi	POP
mojo men	The Mojo Men	ROCK
molly hatchet	Molly Hatchet	POP,ROCK,RNB,COUNTRY
moments	The Moments	RNB,ELECTRONIC
moms mabley	Moms Mabley	OTHER
mona lisa	Mona Lisa	OTHER
monchy and alexandra	Monchy & Alexandra	LATIN
mondo rock	Mondo Rock	POP,ROCK
moneybagg yo	Moneybagg Yo	HIP_HOP
mongo santamaria	Mongo Santamaria	JAZZ,LATIN
monica	Monica	POP,HIP_HOP,RNB
monie love	Monie Love	HIP_HOP,ELECTRONIC
monifah	Monifah	POP,RNB
monitors	The Monitors	RNB
monkees	The Monkees	POP,ROCK,FOLK
mono	Mono	OTHER
monroes	The Monroes	OTHER
montell jordan	Montell Jordan	POP,HIP_HOP,RNB
montgomery gentry	Montgomery Gentry	COUNTRY
monty	Monty	OTHER
moody blues	The Moody Blues	POP,ROCK,FOLK
moon martin	Moon Martin	ROCK
morgan evans	Morgan Evans	POP,COUNTRY
morgan wallen	Morgan Wallen	COUNTRY
mormon tabernacle choir	Mormon Tabernacle Choir	OTHER
morris albert	Morris Albert	OTHER
morris day	Morris Day	RNB,ELECTRONIC
morrissey	Morrissey	ROCK,ELECTRONIC
mos def	Mos Def	HIP_HOP,PUNK
motels	The Motels	POP,ROCK,ELECTRONIC
mother s finest	Mother's Finest	RNB
motherlode	Motherlode	OTHER
motley crue	Mötley Crüe	ROCK,METAL
motors	The Motors	POP,ROCK
mott the hoople	Mott The Hoople	POP,ROCK,RNB,PUNK,FOLK
mountain	Mountain	ROCK,RNB
mouth and macneal	Mouth & MacNeal	POP
move	The Move	POP,ROCK,RNB,PUNK,FOLK
movement	The Movement	OTHER
moving pictures	Moving Pictures	ROCK
mozzy	Mozzy	HIP_HOP
mr big	Mr. Big	ROCK,METAL
mr cheeks	Mr. Cheeks	POP
mr collipark	Mr. Collipark	HIP_HOP
mr mister	Mr. Mister	POP,ROCK,ELECTRONIC
mr president	Mr. President	POP,ELECTRONIC
mr probz	Mr. Probz	ELECTRONIC
mr short khop	Mr. Short Khop	OTHER
mr vegas	Mr. Vegas	POP,ELECTRONIC
mrs miller	Mrs. Miller	POP
ms jade	Ms. Jade	POP
ms thing	Ms. Thing	OTHER
ms toi	Ms. Toi	HIP_HOP
mtume	Mtume	RNB,ELECTRONIC
mudvayne	Mudvayne	ROCK,HIP_HOP,METAL
mumford and sons	Mumford & Sons	POP,ROCK,FOLK
mungo jerry	Mungo Jerry	POP,RNB
murda beatz	Murda Beatz	HIP_HOP
murmaids	The Murmaids	POP
murmurs	The Murmurs	POP
murphy lee	Murphy Lee	HIP_HOP
murray head	Murray Head	POP
murry kellum	Murry Kellum	OTHER
muse	Muse	ROCK
music explosion	Music Explosion	OTHER
music machine	The Music Machine	ROCK
musical youth	Musical Youth	OTHER
musiq soulchild	Musiq Soulchild	POP,HIP_HOP,RNB
musique	Musique	ELECTRONIC
mustard	Mustard	POP,HIP_HOP
my chemical romance	My Chemical Romance	PUNK,EMO
my darkest days	My Darkest Days	ROCK,HIP_HOP,METAL
mya	Mýa	POP,HIP_HOP,RNB
mynt	Mynt	ELECTRONIC
mystic	Mystic	OTHER
mystikal	Mystikal	HIP_HOP
n dea davenport	N'Dea Davenport	RNB
n e r d	N.E.R.D	HIP_HOP
n o r e	N.O.R.E.	POP,HIP_HOP,PUNK
n trance	N-Trance	POP,ELECTRONIC,PUNK
n w a	N.W.A.	HIP_HOP,PUNK
n2deep	N2DEEP	HIP_HOP
nadine sutherland	Nadine Sutherland	ROCK,ELECTRONIC
naked eyes	Naked Eyes	POP,ROCK,ELECTRONIC
nancy ames	Nancy Ames	OTHER
nancy martinez	Nancy Martinez	OTHER
nancy sinatra	Nancy Sinatra	POP,FOLK
nancy wilson	Nancy Wilson	POP,RNB,JAZZ
napoleon xiv	Napoleon XIV	OTHER
nappy roots	Nappy Roots	HIP_HOP
narada michael walden	Narada Michael Walden	ELECTRONIC
narvel felts	Narvel Felts	COUNTRY
nas	Nas	HIP_HOP,PUNK
nashville teens	The Nashville Teens	ROCK
nat king cole	Nat King Cole	POP,JAZZ
natalia jimenez	Natalia Jiménez	LATIN
natalie	Natalie	OTHER
natalie cole	Natalie Cole	POP,RNB,ELECTRONIC,JAZZ
natalie imbruglia	Natalie Imbruglia	POP
natalie merchant	Natalie Merchant	POP,FOLK
natasha bedingfield	Natasha Bedingfield	POP
natasja	Natasja	POP,HIP_HOP
nate dogg	Nate Dogg	HIP_HOP,RNB
nate ruess	Nate Ruess	CLASSICAL
nathan sykes	Nathan Sykes	POP
national	The National	POP,ROCK,FOLK,CLASSICAL
national lampoon	National Lampoon	OTHER
natti natasha	Natti Natasha	HIP_HOP,LATIN
natural four	The Natural Four	RNB
natural selection	Natural Selection	OTHER
naughty boy	Naughty Boy	POP,RNB,ELECTRONIC
naughty by nature	Naughty By Nature	HIP_HOP,PUNK
nav	NAV	POP,HIP_HOP
nayer	Nayer	POP
nazareth	Nazareth	ROCK,RNB,METAL
nazz	Nazz	ROCK
nb ridaz	NB Ridaz	HIP_HOP
ne yo	Ne-Yo	POP,HIP_HOP,RNB
neal hefti	Neal Hefti	POP,SOUNDTRACK
neal mccoy	Neal McCoy	COUNTRY
ned miller	Ned Miller	COUNTRY
needtobreathe	NEEDTOBREATHE	POP,ROCK
neighbourhood	The Neighbourhood	POP,ROCK
neil diamond	Neil Diamond	POP,ROCK,FOLK
neil sedaka	Neil Sedaka	POP,ROCK,RNB,FOLK
neil young	Neil Young	POP,ROCK,FOLK
nektar	Nektar	ROCK,JAZZ
nelly	Nelly	POP,HIP_HOP
nelly furtado	Nelly Furtado	POP,LATIN
nelson	Nelson	ROCK,METAL
nena	Nena	POP,ROCK
neneh cherry	Neneh Cherry	POP,RNB
neon hitch	Neon Hitch	POP
neon philharmonic	The Neon Philharmonic	POP
neon trees	Neon Trees	POP,ROCK,PUNK
nero	NERO	ELECTRONIC
new birth	The New Birth	RNB,ELECTRONIC
new boyz	New Boyz	POP,HIP_HOP
new christy minstrels	The New Christy Minstrels	FOLK
new colony six	The New Colony Six	POP,ROCK
new edition	New Edition	POP,HIP_HOP,RNB
new england	New England	OTHER
new found glory	New Found Glory	POP,ROCK,PUNK,EMO
new hope	New Hope	OTHER
new kids on the block	New Kids On The Block	POP
new order	New Order	POP,ROCK,ELECTRONIC,PUNK
new radicals	New Radicals	POP
new riders of the purple sage	New Riders of the Purple Sage	ROCK,RNB,COUNTRY,FOLK
new seekers	The New Seekers	POP
new vaudeville band	New Vaudeville Band	ROCK
newbeats	The Newbeats	RNB
newcity rockers	Newcity Rockers	OTHER
newcleus	Newcleus	HIP_HOP,RNB,ELECTRONIC
newcomers	The Newcomers	RNB
newsong	Newsong	POP,ROCK
next	Next	POP,HIP_HOP,RNB
nf	NF	HIP_HOP
nia peeples	Nia Peeples	OTHER
niall horan	Niall Horan	POP
nice and smooth	Nice & Smooth	HIP_HOP,PUNK
nicholas david	Nicholas David	OTHER
nick cannon	Nick Cannon	HIP_HOP
nick fradiani	Nick Fradiani	OTHER
nick gilder	Nick Gilder	ROCK
nick jonas	Nick Jonas	POP
nick jonas and the administration	Nick Jonas & The Administration	POP
nick lachey	Nick Lachey	OTHER
nick lowe	Nick Lowe	POP,ROCK,COUNTRY,FOLK
nickelback	Nickelback	ROCK,METAL
nicki french	Nicki French	ELECTRONIC
nicki minaj	Nicki Minaj	POP,HIP_HOP
nicky jam	Nicky Jam	POP,HIP_HOP,LATIN
nico and vinz	Nico & Vinz	POP,HIP_HOP
nicole	Nicole	POP
nicole scherzinger	Nicole Scherzinger	POP
nicolette larson	Nicolette Larson	POP
nigel olsson	Nigel Olsson	OTHER
night	Night	OTHER
night ranger	Night Ranger	POP,ROCK,METAL
nightcrawlers	The Nightcrawlers	OTHER
niia	Niia	OTHER
nik kershaw	Nik Kershaw	POP,ROCK,ELECTRONIC
nile rodgers	Nile Rodgers	ELECTRONIC
nina simone	Nina Simone	RNB,JAZZ
nina sky	Nina Sky	POP,RNB
nina sky featuring jabba	Nina Sky featuring Jabba	OTHER
nine	Nine	PUNK
nine days	Nine Days	POP,ROCK
nine inch nails	Nine Inch Nails	ROCK,ELECTRONIC,PUNK,METAL
nino tempo and april stevens	Nino Tempo & April Stevens	OTHER
nipsey hussle	Nipsey Hussle	HIP_HOP
nirvana	Nirvana	ROCK
nite liters	The Nite-Liters	OTHER
niteflyte	Niteflyte	POP
nitty	Nitty	OTHER
nitty gritty dirt band	Nitty Gritty Dirt Band	POP,COUNTRY,FOLK
nivea	Nivea	POP,HIP_HOP,RNB
no doubt	No Doubt	POP,ROCK
no good but so good	No Good But So Good	OTHER
no mercy	No Mercy	POP,ELECTRONIC
noah cyrus	Noah Cyrus	POP
nocera	Nocera	OTHER
noel	Noel	OTHER
noel harrison	Noel Harrison	POP
nolan porter	Nolan Porter	RNB
nona gaye	Nona Gaye	OTHER
nona hendryx	Nona Hendryx	OTHER
nonchalant	Nonchalant	POP
norah jones	Norah Jones	POP
norma tanega	Norma Tanega	OTHER
norman connors	Norman Connors	RNB,ELECTRONIC
norman greenbaum	Norman Greenbaum	ROCK,FOLK
normani	Normani	POP,RNB
northern pikes	The Northern Pikes	ROCK
notorious	Notorious	OTHER
notorious b i g	The Notorious B.I.G.	HIP_HOP,PUNK
novas	The Novas	OTHER
nrbq	NRBQ	POP,ROCK,COUNTRY
nu flavor	Nu Flavor	POP
nu shooz	Nu Shooz	OTHER
nuttin nyce	Nuttin' Nyce	RNB
nyasia	Nyasia	OTHER
nyla	Nyla	OTHER
nylons	The Nylons	OTHER
o a r	O.A.R.	POP
o c	O.C.	HIP_HOP,PUNK
o c smith	O.C. Smith	OTHER
o jays	The O'Jays	RNB,ELECTRONIC
o kaysions	The O'Kaysions	OTHER
o t genasis	O.T. Genasis	HIP_HOP
o town	O-Town	POP
o v wright	O.V. Wright	RNB
oak	OAK	OTHER
oak ridge boys	The Oak Ridge Boys	COUNTRY
oaktown s 3 5 7	Oaktown's 3.5.7	OTHER
oasis	Oasis	POP,ROCK
obie trice	Obie Trice	HIP_HOP,PUNK
ocean	Ocean	OTHER
odds and ends	Odds & Ends	OTHER
odia coates	Odia Coates	OTHER
odyssey	Odyssey	POP,ELECTRONIC
of monsters and men	Of Monsters and Men	POP,ROCK,FOLK
offset	Offset	POP,HIP_HOP
offspring	The Offspring	ROCK,PUNK,METAL
og maco	OG Maco	HIP_HOP
ohio express	Ohio Express	POP,FOLK
ohio players	Ohio Players	RNB,ELECTRONIC
oingo boingo	Oingo Boingo	POP,ROCK,ELECTRONIC
ok go	OK Go	POP,ROCK,PUNK
ol dirty bastard	Ol' Dirty Bastard	HIP_HOP,PUNK
ola and the janglers	Ola & The Janglers	OTHER
old dominion	Old Dominion	COUNTRY
oleta adams	Oleta Adams	RNB
olive	Olive	ELECTRONIC
oliver	Oliver	ELECTRONIC
olivia	Olivia	OTHER
olivia newton john	Olivia Newton-John	POP,ELECTRONIC,SOUNDTRACK
olivia o brien	Olivia O'Brien	POP
ollie and jerry	Ollie & Jerry	OTHER
olly murs	Olly Murs	POP,ELECTRONIC
olu dara	Olu Dara	OTHER
olympics	The Olympics	RNB
omarion	Omarion	POP,HIP_HOP,RNB
omi	OMI	POP,ELECTRONIC
one direction	One Direction	POP
one way	One Way	RNB,ELECTRONIC
onerepublic	OneRepublic	POP,ROCK,HIP_HOP
onyx	Onyx	HIP_HOP,PUNK
opetaia foa i	Opetaia Foa'i	OTHER
opus	Opus	POP
or n more	Or-N-More	OTHER
oran juice jones	Oran Juice Jones	OTHER
orchestra	Orchestra	OTHER
orchestral manoeuvres in the dark	Orchestral Manoeuvres In The Dark	POP,ROCK,ELECTRONIC
orgy	Orgy	ROCK,HIP_HOP,ELECTRONIC,METAL
orianthi	Orianthi	POP
original	The Original	ELECTRONIC
original caste	The Original Caste	OTHER
originals	The Originals	RNB
orion the hunter	Orion The Hunter	OTHER
orleans	Orleans	POP,ROCK,COUNTRY,FOLK
orlons	The Orlons	POP,RNB
orpheus	Orpheus	OTHER
oscar brown jr	Oscar Brown, Jr.	OTHER
oscar toney jr	Oscar Toney, Jr.	RNB
osmond brothers	The Osmond Brothers	OTHER
osmonds	The Osmonds	POP
other ones	The Other Ones	OTHER
otis clay	Otis Clay	RNB
otis leavill	Otis Leavill	RNB
otis redding	Otis Redding	RNB
our lady peace	Our Lady Peace	POP,ROCK,METAL
outasight	Outasight	HIP_HOP,RNB
outfield	The Outfield	POP,ROCK
outhere brothers	The Outhere Brothers	ELECTRONIC
outkast	OutKast	HIP_HOP
outlaws	The Outlaws	POP,ROCK,RNB,COUNTRY,FOLK
outlawz	Outlawz	OTHER
outsiders	The Outsiders	OTHER
ovations	The Ovations	RNB
overlanders	The Overlanders	ROCK
owl city	Owl City	POP
oxo	OXO	OTHER
ozark mountain daredevils	The Ozark Mountain Daredevils	POP,ROCK,COUNTRY,FOLK
ozo	Ozo	OTHER
ozuna	Ozuna	HIP_HOP,LATIN
ozzy osbourne	Ozzy Osbourne	ROCK,METAL
p c	P$C	HIP_HOP
p j proby	P.J. Proby	POP,ROCK
p m dawn	P.M. Dawn	OTHER
p nk	P!nk	POP
p o d	P.O.D.	ROCK,HIP_HOP,METAL
pablo cruise	Pablo Cruise	POP,ROCK,COUNTRY,FOLK
pacific gas and electric	Pacific Gas & Electric	OTHER
pack	The Pack	HIP_HOP
packers	The Packers	OTHER
pages	Pages	POP
painter	Painter	OTHER
pajama party	Pajama Party	OTHER
panic at the disco	Panic! At The Disco	ROCK,PUNK,EMO,CLASSICAL
papa roach	Papa Roach	ROCK,HIP_HOP,PUNK,METAL
paper lace	Paper Lace	POP
paperboy	Paperboy	OTHER
papoose	Papoose	HIP_HOP,PUNK
parachute	Parachute	POP,ROCK,PUNK
parade	The Parade	POP
paramore	Paramore	POP,PUNK,EMO
pardison fontaine	Pardison Fontaine	HIP_HOP
paris hilton	Paris Hilton	POP
parker mcgee	Parker McGee	OTHER
parliament	Parliament	RNB,ELECTRONIC
parliament funkadelic	Parliament Funkadelic	OTHER
parliaments	The Parliaments	OTHER
parmalee	Parmalee	COUNTRY
partland brothers	The Partland Brothers	OTHER
partners in kryme	Partners In Kryme	OTHER
partynextdoor	PARTYNEXTDOOR	POP,HIP_HOP,RNB
pasadenas	The Pasadenas	RNB
passenger	Passenger	POP
passion	Passion	OTHER
passion pit	Passion Pit	POP,ROCK,ELECTRONIC
pastor troy	Pastor Troy	HIP_HOP
pat benatar	Pat Benatar	POP,ROCK,ELECTRONIC
pat green	Pat Green	COUNTRY
pat metheny group	Pat Metheny Group	RNB,JAZZ
pat travers	Pat Travers	ROCK,RNB
pat travers band	Pat Travers Band	OTHER
patra	Patra	OTHER
patrice rushen	Patrice Rushen	RNB,ELECTRONIC
patrick hernandez	Patrick Hernandez	ELECTRONIC
patrick simmons	Patrick Simmons	POP
patrick stump	Patrick Stump	PUNK
patrick swayze	Patrick Swayze	POP
patti austin	Patti Austin	POP,RNB,JAZZ
patti drew	Patti Drew	RNB
patti labelle	Patti LaBelle	RNB,ELECTRONIC
patti page	Patti Page	POP,COUNTRY
patty and the emblems	Patty & The Emblems	RNB
patty duke	Patty Duke	POP
patty loveless	Patty Loveless	COUNTRY
patty smyth	Patty Smyth	POP
paul anka	Paul Anka	POP,ROCK
paul carrack	Paul Carrack	POP
paul davis	Paul Davis	POP,ROCK,COUNTRY,FOLK
paul hardcastle	Paul Hardcastle	JAZZ
paul humphrey	Paul Humphrey	OTHER
paul kelly	Paul Kelly	RNB
paul lekakis	Paul Lekakis	OTHER
paul mauriat	Paul Mauriat	POP
paul mccartney	Paul McCartney	POP,ROCK,FOLK
paul peek	Paul Peek	OTHER
paul revere	Paul Revere	OTHER
paul revere and the raiders	Paul Revere & The Raiders	POP,ROCK,PUNK,FOLK
paul shaffer	Paul Shaffer	JAZZ
paul simon	Paul Simon	POP,ROCK,FOLK
paul stanley	Paul Stanley	ROCK,METAL
paul vance	Paul Vance	OTHER
paul wall	Paul Wall	HIP_HOP
paul williams	Paul Williams	OTHER
paul young	Paul Young	POP,ROCK,ELECTRONIC
paula abdul	Paula Abdul	POP
paula cole	Paula Cole	POP,FOLK
paula deanda	Paula DeAnda	POP,RNB
paulina rubio	Paulina Rubio	POP,LATIN
peabo bryson	Peabo Bryson	POP,RNB
peach union	Peach Union	OTHER
peaches and herb	Peaches & Herb	RNB,ELECTRONIC
peanut butter conspiracy	The Peanut Butter Conspiracy	ROCK
pearl jam	Pearl Jam	ROCK
pebbles	Pebbles	RNB
peedi crakk	Peedi Crakk	HIP_HOP
peels	The Peels	OTHER
peggy lee	Peggy Lee	POP,JAZZ
peggy scott adams	Peggy Scott-Adams	RNB
peggy scott and jo jo benson	Peggy Scott & Jo Jo Benson	OTHER
penny mclean	Penny McLean	OTHER
pentatonix	Pentatonix	OTHER
people s choice	People's Choice	RNB,ELECTRONIC
peppermint rainbow	Peppermint Rainbow	POP
peppers	The Peppers	OTHER
percy faith and his orchestra	Percy Faith & His Orchestra	POP
percy sledge	Percy Sledge	POP,RNB
perfect gentlemen	Perfect Gentlemen	OTHER
perfect stranger	Perfect Stranger	ROCK,ELECTRONIC
perry como	Perry Como	POP,JAZZ
persuaders	The Persuaders	RNB
pet shop boys	Pet Shop Boys	POP,ROCK,ELECTRONIC
pete rock and c l smooth	Pete Rock & C.L. Smooth	HIP_HOP,PUNK
pete seeger	Pete Seeger	FOLK
pete townshend	Pete Townshend	POP,ROCK,PUNK,FOLK
peter allen	Peter Allen	ROCK
peter and gordon	Peter And Gordon	POP,ROCK,RNB,FOLK
peter brown	Peter Brown	OTHER
peter cetera	Peter Cetera	POP
peter frampton	Peter Frampton	POP,ROCK,RNB,COUNTRY,FOLK
peter gabriel	Peter Gabriel	POP,ROCK
peter gunz	Peter Gunz	OTHER
peter mccann	Peter McCann	OTHER
peter murphy	Peter Murphy	ROCK,ELECTRONIC
peter nero	Peter Nero	POP
peter paul and mary	Peter, Paul and Mary	POP,FOLK
peter sarstedt	Peter Sarstedt	FOLK
peter schilling	Peter Schilling	POP,ROCK
peter shelley	Peter Shelley	OTHER
peter skellern	Peter Skellern	POP
peter tosh	Peter Tosh	OTHER
peter wolf	Peter Wolf	ROCK
peter yarrow	Peter Yarrow	OTHER
petey pablo	Petey Pablo	POP,HIP_HOP
petula clark	Petula Clark	POP,ROCK,FOLK
phajja	Phajja	OTHER
pharcyde	The Pharcyde	HIP_HOP,PUNK
